# commands.log — append-only audit trail of significant commands run during the study.
#
# RULES
#   * APPEND only. Never edit or delete existing lines (they are evidence).
#   * Always use >> (append), never > (overwrite).
#   * One record per significant command: generation runs, docker build/up,
#     snapshots, catalog validation, analysis steps. Trivial reads (ls, cat) need
#     not be logged.
#
# FORMAT (pipe-separated, one line per command):
#   <UTC timestamp ISO8601> | <run_id or -> | <actor: human/claude/codex> | <command> | <notes>
#
# EXAMPLES
#   2026-06-09T10:00:00Z | - | human | python harness/validate_catalog.py | catalog accepted
#   2026-06-09T10:05:00Z | r0007 | human | docker compose -f docker-compose.generated.yml up --build s001-claude-a | first run
#
# Append from PowerShell:
#   "$([DateTime]::UtcNow.ToString('yyyy-MM-ddTHH:mm:ssZ')) | r0007 | human | <command> | <notes>" | Add-Content -Path logs/commands.log
# Append from bash:
#   echo "$(date -u +%Y-%m-%dT%H:%M:%SZ) | r0007 | human | <command> | <notes>" >> logs/commands.log
#
# ---- records below this line ----
2026-06-09T11:13:07Z | S001_claude_A_20260609111222 | claude | claude -p <PROMPT@prompts\rendered\S001_claude_A_20260609111222.txt sha256:038d35ddae01a9fe> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_31gxbkh2) | exit=0; started=2026-06-09T11:12:22.135519+00:00
2026-06-09T11:16:38Z | S001_claude_B_20260609111345 | claude | claude -p <PROMPT@prompts\rendered\S001_claude_B_20260609111345.txt sha256:973cb9f28210fe13> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_papawqmp) | exit=0; started=2026-06-09T11:13:45.424426+00:00
2026-06-09T11:17:26Z | S002_claude_A_20260609111638 | claude | claude -p <PROMPT@prompts\rendered\S002_claude_A_20260609111638.txt sha256:317088cf864c6862> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_f86w85t6) | exit=0; started=2026-06-09T11:16:38.802461+00:00
2026-06-09T11:19:40Z | S002_claude_B_20260609111726 | claude | claude -p <PROMPT@prompts\rendered\S002_claude_B_20260609111726.txt sha256:c75372fc9cc340e0> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_gbpcuvrp) | exit=0; started=2026-06-09T11:17:26.486629+00:00
2026-06-09T11:20:55Z | S003_claude_A_20260609111940 | claude | claude -p <PROMPT@prompts\rendered\S003_claude_A_20260609111940.txt sha256:4baa0dd2288a87cc> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_jueh51_y) | exit=0; started=2026-06-09T11:19:40.106485+00:00
2026-06-09T11:23:13Z | S003_claude_B_20260609112055 | claude | claude -p <PROMPT@prompts\rendered\S003_claude_B_20260609112055.txt sha256:c91aea3c73e89fbf> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_q13es7w0) | exit=0; started=2026-06-09T11:20:55.098615+00:00
2026-06-09T11:24:06Z | S004_claude_A_20260609112313 | claude | claude -p <PROMPT@prompts\rendered\S004_claude_A_20260609112313.txt sha256:c2e46b3ac5f8686b> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_88h3bti9) | exit=0; started=2026-06-09T11:23:13.743546+00:00
2026-06-09T11:26:14Z | S004_claude_B_20260609112406 | claude | claude -p <PROMPT@prompts\rendered\S004_claude_B_20260609112406.txt sha256:86ccabe42e3394a8> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen__1jqj_9n) | exit=0; started=2026-06-09T11:24:06.179890+00:00
2026-06-09T11:27:22Z | S005_claude_A_20260609112614 | claude | claude -p <PROMPT@prompts\rendered\S005_claude_A_20260609112614.txt sha256:737b9b0dee928e38> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_9x1mie73) | exit=0; started=2026-06-09T11:26:14.894062+00:00
2026-06-09T11:30:10Z | S005_claude_B_20260609112722 | claude | claude -p <PROMPT@prompts\rendered\S005_claude_B_20260609112722.txt sha256:62aa216d68fd0811> --model claude-opus-4-8 --permission-mode acceptEdits  (cwd=C:\Users\Darko\AppData\Local\Temp\claude\csj_gen_1jjt354c) | exit=0; started=2026-06-09T11:27:22.156744+00:00
